"class_size","college_career_ready","community_engagement","electives_specials","extracurricular","great_teachers","length_of_school_year","safety","technology","response","Elementary","Middle","High","Options","Response1","Response2"
8,1,7,9,6,4,5,2,3,"parent/guardian","Elementary",,,,,
2,5,8,4,7,1,3,9,6,"parent/guardian","Elementary",,,,,
1,3,7,6,5,4,9,2,8,"parent/guardian","Elementary",,,,,
3,1,5,6,7,2,4,9,8,"parent/guardian","Elementary",,,,,
7,3,2,6,9,1,8,5,4,"parent/guardian","Elementary",,,,,
1,6,8,3,5,2,4,9,7,"parent/guardian","Elementary",,,,,
6,4,7,5,8,3,9,2,1,"community member",,,,,,
5,4,8,1,9,6,7,2,3,"parent/guardian","Elementary",,,,,
4,1,9,7,6,2,5,3,8,"parent/guardian",,,"High",,,
3,7,5,4,9,2,8,1,6,"parent/guardian","Elementary","Middle",,,,
8,9,2,1,3,7,5,4,6,"staff member",,,,,"Licensed",
6,4,8,3,9,1,5,7,2,"community member",,,,,,
3,9,6,2,8,1,4,7,5,"parent/guardian","Elementary",,,,,
4,8,7,3,9,2,6,1,5,"parent/guardian","Elementary",,,,,
3,9,5,2,6,1,7,8,4,"parent/guardian","Elementary",,,,,
5,7,4,2,6,1,8,9,3,"staff member",,,,,"Licensed","Elementary School"
6,5,7,4,8,3,1,2,9,"parent/guardian","Elementary",,,,,
3,8,6,2,7,1,9,4,5,"staff member",,,,,"Licensed","Middle School"
8,3,7,5,9,2,6,1,4,"community member",,,,,,
6,4,7,1,8,2,9,5,3,"staff member",,,,,"Licensed","Elementary School"
3,6,8,4,5,2,9,1,7,"parent/guardian",,,"High","Options",,
5,6,7,1,4,2,8,9,3,"parent/guardian",,"Middle","High",,,
3,6,7,2,5,1,9,4,8,"parent/guardian","Elementary",,,,,
5,2,8,3,6,1,9,4,7,"parent/guardian","Elementary",,,,,
1,7,5,8,9,2,4,3,6,"parent/guardian",,,"High",,,
6,2,5,3,4,1,8,9,7,"parent/guardian",,,"High",,,
1,2,4,3,9,8,7,6,5,"parent/guardian",,"Middle","High",,,
1,3,9,5,8,4,2,7,6,"parent/guardian","Elementary",,,,,
2,5,7,1,4,6,9,3,8,"staff member",,,,,"Licensed","Elementary School"
5,4,7,1,2,6,9,3,8,"staff member",,,,,"Licensed","Elementary School"
2,3,7,1,6,4,9,5,8,"staff member",,,,,"Licensed","Elementary School"
4,8,5,1,2,3,9,7,6,"staff member",,,,,"Licensed","Elementary School"
5,3,6,1,2,7,9,4,8,"staff member",,,,,"Licensed","Elementary School"
7,8,6,1,4,3,9,2,5,"community member",,,,,,
1,8,5,2,9,4,7,3,6,"parent/guardian",,,"High",,,
5,2,7,4,9,1,3,8,6,"parent/guardian","Elementary",,,,,
1,5,8,7,9,2,4,3,6,"parent/guardian","Elementary",,,,,
6,3,1,4,7,5,9,2,8,"parent/guardian",,"Middle","High",,,
6,5,8,3,9,2,7,1,4,"parent/guardian","Elementary",,,,,
5,9,6,3,4,1,7,2,8,"parent/guardian","Elementary",,,,,
1,4,6,8,9,2,5,3,7,"parent/guardian","Elementary",,,,,
5,6,8,3,1,2,4,9,7,"parent/guardian",,"Middle","High",,,
4,2,7,5,9,3,6,1,8,"parent/guardian","Elementary","Middle",,,,
3,5,9,4,7,1,8,2,6,"parent/guardian","Elementary","Middle","High",,,
4,2,9,3,7,1,6,8,5,"parent/guardian","Elementary",,,,,
1,3,9,4,7,2,6,8,5,"community member",,,,,,
5,8,3,2,1,9,7,4,6,"parent/guardian",,,"High",,,
6,2,9,3,7,1,5,4,8,"parent/guardian","Elementary",,,,,
2,3,7,8,9,1,4,5,6,"parent/guardian",,,"High",,,
2,1,6,5,9,4,8,3,7,"parent/guardian","Elementary",,"High",,,
8,9,2,1,3,6,5,4,7,"parent/guardian","Elementary","Middle","High",,,
2,6,5,3,8,4,9,1,7,"staff member",,,,,"Licensed","Elementary School"
4,2,9,6,5,1,7,8,3,"parent/guardian","Elementary",,,,,
8,9,2,1,3,6,4,5,7,"community member",,,,,,
7,9,4,5,8,3,6,2,1,"parent/guardian",,"Middle",,,,
6,5,8,3,4,1,9,2,7,"high school student",,,,,,
5,6,8,1,2,3,7,4,9,"high school student",,,,,,
8,9,2,1,4,7,5,3,6,"parent/guardian","Elementary","Middle",,,,
2,6,8,5,9,1,7,3,4,"parent/guardian","Elementary",,,,,
8,9,4,1,3,6,5,2,7,"community member",,,,,,
3,6,8,1,9,5,4,7,2,"parent/guardian","Elementary","Middle","High",,,
6,7,8,1,9,5,4,3,2,"staff member",,,,,"Licensed","Elementary School"
8,2,4,1,9,7,5,6,3,"staff member",,,,,"Licensed","Elementary School"
4,2,8,1,9,5,7,6,3,"staff member",,,,,"Licensed","Elementary School"
5,2,8,1,9,6,7,4,3,"parent/guardian","Elementary","Middle","High",,,
1,8,6,4,7,3,9,2,5,"parent/guardian",,"Middle","High",,,
7,6,8,2,4,1,9,3,5,"parent/guardian",,,"High",,,
5,2,4,3,9,1,8,7,6,"parent/guardian",,"Middle",,,,
5,2,7,3,8,1,6,4,9,"parent/guardian","Elementary",,,,,
5,4,8,3,7,2,9,1,6,"parent/guardian","Elementary",,,,,
2,7,9,6,4,3,5,1,8,"parent/guardian","Elementary",,,,,
5,3,7,6,9,2,8,1,4,"parent/guardian","Elementary",,,,,
1,2,6,5,7,3,9,4,8,"parent/guardian",,,"High",,,
7,1,9,3,5,2,6,8,4,"parent/guardian","Elementary","Middle",,,,
4,7,3,1,5,6,9,2,8,"staff member",,,,,"Licensed","Elementary School"
6,7,3,1,5,2,9,4,8,"staff member",,,,,"Licensed","Elementary School"
2,6,5,1,3,7,9,4,8,"staff member",,,,,"Licensed","Elementary School"
7,6,3,1,4,5,9,2,8,"staff member",,,,,"Licensed","Elementary School"
4,7,5,1,3,6,9,2,8,"staff member",,,,,"Licensed","Elementary School"
2,3,7,1,4,6,9,5,8,"staff member",,,,,"Licensed","Elementary School"
2,5,8,4,3,1,9,7,6,"parent/guardian",,,"High",,,
7,6,5,1,3,4,9,2,8,"staff member",,,,,"Licensed","Elementary School"
6,2,3,1,4,8,9,5,7,"staff member",,,,,"Licensed","Elementary School"
6,5,3,1,7,4,9,2,8,"staff member",,,,,"Licensed","Elementary School"
2,5,3,1,7,6,9,4,8,"staff member",,,,,"Licensed","Elementary School"
3,2,5,1,4,7,9,6,8,"staff member",,,,,"Licensed","Elementary School"
3,4,6,1,7,2,9,5,8,"staff member",,,,,"Licensed","Elementary School"
4,7,5,1,6,2,9,3,8,"staff member",,,,,"Licensed","Elementary School"
4,5,3,1,2,6,9,7,8,"staff member",,,,,"Licensed","Elementary School"
4,5,7,1,2,3,9,6,8,"staff member",,,,,"Licensed","Elementary School"
2,4,3,1,6,5,9,7,8,"staff member",,,,,"Licensed","Elementary School"
3,7,5,1,4,6,9,2,8,"staff member",,,,,"Licensed","Elementary School"
2,3,6,1,7,5,9,4,8,"staff member",,,,,"Licensed","Elementary School"
3,4,5,8,9,1,6,2,7,"parent/guardian","Elementary",,,,,
8,1,2,6,7,3,9,5,4,"community member",,,,,,
8,9,4,1,2,7,5,3,6,"parent/guardian","Elementary","Middle","High",,,
9,4,5,1,2,6,8,7,3,"parent/guardian","Elementary",,,,,
1,7,8,5,9,4,2,6,3,"parent/guardian","Elementary","Middle",,,,
1,4,7,2,5,3,9,6,8,"parent/guardian","Elementary",,,,,
2,6,3,1,7,4,9,5,8,"staff member",,,,,"Licensed","Elementary School"
4,3,5,1,2,6,9,7,8,"community member",,,,,,
5,4,8,1,3,2,9,6,7,"community member",,,,,,
5,2,3,1,7,6,9,4,8,"community member",,,,,,
4,5,7,1,2,6,9,3,8,"community member",,,,,,
4,5,7,1,3,6,9,2,8,"community member",,,,,,
4,2,7,1,3,6,9,5,8,"community member",,,,,,
7,4,3,1,5,6,9,2,8,"community member",,,,,,
5,2,7,1,6,3,9,4,8,"community member",,,,,,
3,2,8,1,5,4,9,7,6,"community member",,,,,,
2,4,5,1,7,3,9,6,8,"community member",,,,,,
6,8,2,1,4,3,9,5,7,"community member",,,,,,
4,6,3,1,2,7,9,8,5,"community member",,,,,,
4,3,9,6,7,1,8,5,2,"parent/guardian",,,"High",,,
4,6,8,5,9,1,7,2,3,"parent/guardian","Elementary",,,"Options",,
4,1,8,5,6,2,9,3,7,"parent/guardian","Elementary",,,,,
4,3,8,2,9,1,5,6,7,"parent/guardian","Elementary",,,,,
3,6,9,4,1,2,8,7,5,"community member",,,,,,
5,4,9,1,8,3,6,2,7,"community member",,,,,,
7,2,9,4,5,1,8,6,3,"staff member",,,,,,
8,9,4,1,3,7,5,2,6,"community member",,,,,,
2,5,8,6,9,1,4,3,7,"parent/guardian","Elementary",,,,,
6,4,9,1,7,2,5,3,8,"high school student",,,,,,
3,7,4,5,8,1,9,2,6,"parent/guardian","Elementary",,,,,
8,9,2,1,3,7,5,4,6,"community member",,,,,,
2,1,9,3,8,4,7,6,5,"parent/guardian","Elementary","Middle",,,,
2,6,8,7,9,3,1,5,4,"parent/guardian","Elementary",,,,,
5,3,9,2,8,1,6,7,4,"parent/guardian","Elementary",,,,,
5,2,7,1,6,4,9,3,8,"community member",,,,,,
3,6,7,1,2,4,9,5,8,"community member",,,,,,
2,3,4,1,5,7,9,6,8,"community member",,,,,,
2,4,5,1,6,7,9,3,8,"community member",,,,,,
6,7,4,1,2,3,9,5,8,"community member",,,,,,
5,3,6,1,4,7,9,2,8,"community member",,,,,,
4,7,3,1,5,2,9,6,8,"community member",,,,,,
3,2,5,1,6,4,9,7,8,"community member",,,,,,
5,2,7,1,4,6,9,3,8,"community member",,,,,,
6,4,2,1,7,5,9,3,8,"community member",,,,,,
7,6,4,1,3,5,9,2,8,"community member",,,,,,
2,7,4,1,5,3,9,6,8,"community member",,,,,,
6,7,5,1,2,4,9,3,8,"community member",,,,,,
2,6,4,1,3,5,9,8,7,"community member",,,,,,
4,7,8,1,6,2,9,3,5,"community member",,,,,,
4,7,8,1,6,2,9,3,5,,,,,,,
7,4,5,1,2,6,9,8,3,"community member",,,,,,
3,5,4,1,6,8,9,7,2,"community member",,,,,,
3,8,7,1,4,5,9,2,6,"community member",,,,,,
2,4,3,1,6,5,9,7,8,"community member",,,,,,
2,6,3,1,5,8,9,4,7,"community member",,,,,,
4,2,9,6,8,1,3,5,7,"parent/guardian","Elementary",,,,,
3,2,7,1,8,6,9,4,5,"community member",,,,,,
8,3,6,1,7,4,9,5,2,"community member",,,,,,
8,2,5,1,4,3,9,6,7,"community member",,,,,,
3,6,7,1,4,5,9,8,2,"community member",,,,,,
4,8,5,1,7,2,9,6,3,"community member",,,,,,
2,6,5,1,3,4,9,8,7,"community member",,,,,,
7,4,6,1,5,3,9,2,8,"community member",,,,,,
4,6,2,1,8,5,9,7,3,"community member",,,,,,
2,8,4,1,3,6,9,5,7,"community member",,,,,,
6,7,9,3,8,1,4,2,5,"parent/guardian","Elementary",,,,,
4,8,3,1,2,7,9,6,5,"community member",,,,,,
2,4,9,5,8,1,3,6,7,"parent/guardian","Elementary","Middle",,,,
8,4,1,3,6,9,7,2,5,"staff member",,,,,"Classified","Central Services"
9,1,7,5,4,2,8,3,6,"parent/guardian","Elementary",,,,,
4,1,2,3,5,8,9,6,7,"parent/guardian","Elementary",,,,,
6,2,8,4,5,3,7,9,1,"parent/guardian","Elementary",,,,,
1,4,9,2,8,3,6,5,7,"parent/guardian",,"Middle","High",,,
3,2,6,8,9,1,7,4,5,"parent/guardian",,,"High",,,
2,5,7,4,6,1,3,8,9,"community member",,,,,,
1,4,2,6,8,5,3,7,9,"parent/guardian","Elementary",,"High",,,
2,3,7,4,9,1,8,6,5,"parent/guardian","Elementary","Middle",,,,
2,3,8,5,6,1,4,9,7,"parent/guardian","Elementary",,,,,
4,3,8,9,6,2,5,1,7,"parent/guardian","Elementary",,,,,
6,3,7,5,4,1,8,2,9,"high school student",,,,,,
8,3,7,4,2,1,9,5,6,"high school student",,,,,,
4,1,9,5,7,2,3,8,6,"parent/guardian","Elementary",,,,,
1,3,9,5,7,2,4,8,6,"parent/guardian",,"Middle","High",,,
2,7,9,1,6,5,3,8,4,"parent/guardian","Elementary",,,,,
5,6,8,7,9,2,1,3,4,"parent/guardian","Elementary","Middle",,,,
5,2,7,8,9,1,6,3,4,"parent/guardian",,"Middle",,"Options",,
1,9,8,3,7,2,4,6,5,"parent/guardian","Elementary",,,,,
2,6,8,3,9,1,4,5,7,"parent/guardian","Elementary",,,,,
6,2,9,4,7,1,8,3,5,"staff member",,,,,"Licensed","Middle School"
6,2,9,4,8,1,7,3,5,"parent/guardian",,"Middle","High",,,
4,6,9,3,5,1,2,7,8,"parent/guardian","Elementary","Middle",,,,
6,9,7,3,8,1,2,4,5,"parent/guardian","Elementary",,,,,
2,3,5,6,9,1,8,7,4,"parent/guardian","Elementary","Middle",,,,
1,5,8,2,7,3,4,6,9,"parent/guardian","Elementary",,,,,
4,6,8,2,3,1,7,9,5,"parent/guardian","Elementary","Middle",,,,
2,6,8,5,9,3,4,1,7,"parent/guardian","Elementary",,,,,
3,1,9,4,8,2,5,6,7,"parent/guardian",,"Middle","High",,,
1,4,7,5,8,2,3,6,9,"parent/guardian",,"Middle",,,,
5,2,8,3,9,1,7,6,4,"parent/guardian","Elementary",,,,,
2,6,9,3,8,4,5,1,7,"parent/guardian","Elementary",,,,,
3,2,9,6,8,1,7,5,4,"parent/guardian","Elementary",,,,,
3,7,6,5,8,2,9,1,4,"staff member",,,,,"Licensed","Elementary School"
8,3,7,2,6,1,9,4,5,"parent/guardian","Elementary",,,,,
6,5,8,3,4,1,9,2,7,"parent/guardian","Elementary",,,,,
3,9,7,6,2,1,4,8,5,"parent/guardian","Elementary","Middle",,"Options",,
1,8,7,3,2,6,9,4,5,"parent/guardian","Elementary","Middle","High",,,
8,7,5,3,4,1,9,6,2,"parent/guardian","Elementary",,,,,
3,6,7,4,8,1,5,2,9,"parent/guardian","Elementary",,,,,
5,6,9,1,7,2,4,8,3,"parent/guardian","Elementary","Middle",,,,
7,3,4,1,5,2,9,8,6,"staff member",,,,,"Licensed","Elementary School"
4,3,8,2,7,1,6,5,9,"parent/guardian","Elementary",,,,,
5,1,8,7,2,3,9,4,6,"parent/guardian",,,"High",,,
2,4,7,3,9,1,6,5,8,"parent/guardian","Elementary","Middle",,,,
4,2,8,7,3,1,9,6,5,"parent/guardian",,,"High",,,
7,3,6,5,9,1,4,8,2,"parent/guardian","Elementary",,,,,
5,6,7,4,9,2,3,1,8,"parent/guardian","Elementary","Middle",,,,
1,7,5,8,9,2,4,3,6,"parent/guardian","Elementary","Middle","High",,,
2,4,8,3,6,1,9,7,5,"staff member",,,,,"Licensed","Elementary School"
3,7,5,4,6,2,8,1,9,"parent/guardian","Elementary",,,,,
1,5,9,4,3,2,7,6,8,"parent/guardian","Elementary","Middle",,,,
9,8,5,3,6,1,2,7,4,"staff member",,,,,"Licensed","Elementary School"
4,5,8,3,7,1,6,9,2,"parent/guardian","Elementary",,,,,
9,3,6,2,5,1,7,8,4,"parent/guardian","Elementary",,,,,
4,5,7,9,6,2,1,3,8,"parent/guardian","Elementary","Middle",,,,
5,3,9,2,8,1,4,6,7,"parent/guardian","Elementary","Middle",,,,
6,2,5,4,1,7,8,3,9,"parent/guardian",,,"High",,,
2,8,9,4,7,1,6,3,5,"parent/guardian","Elementary",,,,,
3,5,7,8,9,2,4,1,6,"parent/guardian","Elementary",,,,,
2,7,9,5,6,1,3,8,4,"parent/guardian","Elementary",,,,,
4,9,8,2,7,1,3,6,5,"parent/guardian","Elementary",,,,,
5,7,9,4,8,3,2,1,6,"parent/guardian","Elementary","Middle",,,,
8,5,1,3,2,6,9,4,7,"community member",,,,,,
3,8,9,2,5,1,4,7,6,,,,,,,
3,8,9,2,5,1,4,7,6,"staff member",,,,,"Licensed","Elementary School"
4,5,9,2,3,8,1,6,7,"parent/guardian","Elementary",,,,,
3,7,4,6,9,2,5,1,8,"parent/guardian","Elementary",,,,,
2,3,8,5,7,1,9,6,4,"parent/guardian","Elementary","Middle",,,,
4,7,8,3,9,2,1,6,5,"parent/guardian","Elementary","Middle",,,,
7,5,3,1,4,6,9,2,8,"parent/guardian","Elementary","Middle","High",,,
2,8,9,4,6,3,1,7,5,"parent/guardian","Elementary",,,,,
1,3,7,9,8,2,6,5,4,"parent/guardian","Elementary",,,,,
4,2,9,5,8,3,7,1,6,"parent/guardian","Elementary",,,,,
2,4,8,3,9,5,1,6,7,"parent/guardian","Elementary",,,,,
4,2,9,3,8,1,7,5,6,"parent/guardian","Elementary",,,,,
6,2,7,1,9,5,3,8,4,"high school student",,,,,,
3,6,8,2,5,4,1,9,7,"parent/guardian","Elementary",,,,,
4,2,9,5,7,8,6,1,3,"parent/guardian","Elementary","Middle",,,,
2,5,8,4,6,1,3,9,7,"parent/guardian","Elementary","Middle",,,,
4,2,9,1,3,6,7,8,5,"parent/guardian","Elementary",,,,,
1,8,5,4,7,2,6,9,3,"parent/guardian","Elementary",,,,,
6,3,5,2,7,4,8,1,9,"parent/guardian","Elementary",,,,,
4,6,8,1,3,9,5,2,7,"parent/guardian","Elementary",,,,,
9,8,7,3,5,1,4,6,2,"parent/guardian","Elementary",,,,,
9,8,7,2,6,3,4,5,1,"parent/guardian","Elementary",,,,,
4,5,7,2,9,3,1,8,6,"parent/guardian","Elementary",,,,,
4,5,7,1,8,2,9,6,3,"parent/guardian","Elementary","Middle",,,,
5,6,9,2,7,3,1,4,8,"parent/guardian","Elementary","Middle",,,,
3,9,4,5,6,1,7,8,2,"high school student",,,,,,
4,9,3,5,6,1,8,7,2,"high school student",,,,,,
2,9,8,1,7,3,5,4,6,"parent/guardian","Elementary",,,,,
6,1,9,8,7,4,2,5,3,"parent/guardian","Elementary","Middle","High",,,
2,9,6,8,4,1,3,7,5,"parent/guardian","Elementary",,,,,
6,7,8,2,4,3,5,1,9,"parent/guardian",,"Middle",,"Options",,
3,1,9,4,8,5,2,7,6,"parent/guardian",,"Middle",,,,
4,5,6,2,9,1,3,7,8,"parent/guardian","Elementary","Middle",,,,
3,1,8,7,9,2,5,4,6,"parent/guardian","Elementary","Middle",,,,
5,8,6,1,9,2,3,4,7,"parent/guardian","Elementary","Middle",,,,
4,6,8,2,9,5,1,7,3,"parent/guardian","Elementary",,,,,
2,8,7,3,9,1,4,5,6,"parent/guardian","Elementary",,,,,
4,9,7,3,5,1,8,6,2,"parent/guardian","Elementary",,,,,
5,4,9,3,7,1,6,2,8,"parent/guardian","Elementary",,,,,
2,9,6,1,8,3,5,7,4,"parent/guardian","Elementary",,,,,
6,7,9,3,5,1,2,8,4,"parent/guardian","Elementary",,,,,
3,5,8,2,7,1,9,6,4,"parent/guardian","Elementary",,,,,
9,3,5,7,4,2,6,8,1,"parent/guardian","Elementary",,"High",,,
3,6,9,2,8,1,4,5,7,"parent/guardian","Elementary",,"High",,,
3,6,8,5,9,1,7,2,4,"parent/guardian","Elementary","Middle","High","Options",,
3,4,8,2,7,5,9,1,6,"parent/guardian","Elementary","Middle",,,,
1,4,9,2,6,5,3,7,8,"parent/guardian","Elementary",,,,,
2,4,6,7,9,1,5,3,8,"parent/guardian","Elementary",,,,,
9,4,8,1,7,3,2,5,6,"parent/guardian","Elementary","Middle","High","Options",,
3,7,8,2,4,1,9,5,6,"parent/guardian","Elementary",,,,,
6,3,7,1,8,4,9,5,2,"parent/guardian","Elementary","Middle",,"Options",,
8,3,7,4,6,2,9,1,5,"parent/guardian","Elementary",,,,,
3,1,9,7,8,2,6,4,5,"parent/guardian",,"Middle","High",,,
6,7,9,2,3,1,8,4,5,"parent/guardian",,,"High",,,
4,5,7,3,9,1,8,2,6,"parent/guardian","Elementary",,,,,
1,7,9,5,8,3,2,4,6,"parent/guardian","Elementary",,,,,
3,1,9,2,6,5,4,7,8,"parent/guardian","Elementary",,,,,
3,1,8,5,9,2,4,6,7,"parent/guardian","Elementary",,,,,
3,6,4,7,9,1,8,2,5,"parent/guardian","Elementary",,,,,
6,2,9,4,3,1,5,7,8,"parent/guardian","Elementary","Middle",,,,
2,6,9,5,7,1,4,3,8,"parent/guardian","Elementary",,,,,
6,1,9,5,8,3,7,2,4,"parent/guardian","Elementary",,,,,
2,9,5,7,8,4,1,3,6,"parent/guardian","Elementary",,,,,
3,5,9,8,6,4,1,2,7,"parent/guardian","Elementary",,"High",,,
6,4,7,3,8,2,9,1,5,"parent/guardian","Elementary","Middle","High",,,
8,1,7,3,4,2,5,6,9,"parent/guardian",,,"High","Options",,
3,7,6,5,8,1,2,9,4,"parent/guardian",,"Middle",,,,
1,5,6,4,9,7,3,2,8,"parent/guardian","Elementary","Middle",,,,
2,6,7,9,8,3,1,4,5,"community member",,,,,,
5,1,7,8,9,4,6,3,2,"parent/guardian",,,"High",,,
3,6,4,5,7,1,8,2,9,"parent/guardian","Elementary",,,,,
1,6,8,4,7,2,9,5,3,"staff member",,,,,"Administrator","High School"
3,9,4,2,6,8,1,5,7,"parent/guardian",,"Middle",,,,
2,5,6,9,8,1,3,7,4,"community member",,,,,,
1,7,8,4,9,2,3,5,6,"parent/guardian","Elementary",,,,,
7,4,6,2,3,1,9,5,8,"parent/guardian","Elementary",,,,,
1,5,8,4,9,2,3,7,6,"parent/guardian","Elementary","Middle",,,,
8,9,4,1,3,6,5,2,7,"community member",,,,,,
3,1,9,5,6,2,4,7,8,"parent/guardian",,"Middle",,,,
6,1,7,4,8,3,9,2,5,"parent/guardian",,,"High",,,
3,2,9,8,5,7,1,6,4,"parent/guardian",,,"High",,,
8,3,7,1,9,5,6,4,2,"parent/guardian","Elementary",,,,,
5,7,1,4,6,2,3,8,9,"parent/guardian",,"Middle",,,,
4,3,5,7,9,6,2,1,8,"parent/guardian",,,,"Options",,
2,3,8,6,7,1,5,4,9,"staff member",,,,,"Licensed","Elementary School"
6,8,9,2,4,1,7,3,5,"parent/guardian",,"Middle",,,,
4,8,7,2,6,5,1,3,9,"parent/guardian","Elementary","Middle",,,,
1,8,9,3,5,2,4,7,6,"staff member",,,,,"Licensed","Elementary School"
1,8,9,3,4,2,5,6,7,"parent/guardian",,,,"Options",,
5,6,9,2,3,1,4,7,8,"parent/guardian","Elementary",,,,,
2,3,8,6,4,1,9,5,7,"parent/guardian",,,"High",,,
8,1,9,6,5,4,7,2,3,"parent/guardian","Elementary","Middle",,,,
9,4,8,1,6,2,5,3,7,"parent/guardian","Elementary",,,,,
9,5,7,6,8,1,2,3,4,"parent/guardian","Elementary",,,,,
2,7,8,3,5,1,9,4,6,"parent/guardian","Elementary",,,,,
2,1,4,6,8,9,3,7,5,"parent/guardian",,,"High",,,
2,1,7,8,9,4,3,6,5,"parent/guardian","Elementary",,,,,
2,3,8,5,9,7,1,4,6,"parent/guardian",,"Middle","High",,,
1,4,9,7,8,3,5,6,2,"parent/guardian",,,"High",,,
3,4,6,8,9,2,5,1,7,"parent/guardian",,"Middle","High",,,
1,8,9,2,7,4,5,3,6,"parent/guardian","Elementary","Middle","High",,,
2,4,9,6,8,1,3,5,7,"parent/guardian","Elementary",,,,,
5,1,9,4,3,7,6,8,2,"parent/guardian",,,"High",,,
5,1,6,8,9,2,7,3,4,"parent/guardian",,"Middle",,,,
5,4,8,7,6,9,1,3,2,"parent/guardian",,,"High",,,
4,2,8,9,6,3,5,1,7,"parent/guardian",,"Middle",,,,
2,3,7,5,6,1,9,4,8,"staff member",,,,,"Licensed","Elementary School"
7,6,4,2,9,1,8,3,5,"parent/guardian","Elementary","Middle",,,,
2,7,9,4,6,1,5,3,8,"parent/guardian","Elementary",,,,,
1,3,5,6,9,2,8,7,4,"parent/guardian",,,"High",,,
8,9,3,1,4,6,5,2,7,"parent/guardian","Elementary","Middle",,,,
2,1,3,4,7,6,9,5,8,"parent/guardian",,,"High",,,
2,4,8,6,9,1,7,3,5,"staff member",,,,,"Licensed","Elementary School"
5,1,8,7,9,2,3,4,6,"parent/guardian","Elementary",,"High",,,
8,6,9,1,2,5,7,3,4,"community member",,,,,,
3,6,8,2,9,1,5,4,7,"parent/guardian","Elementary","Middle",,,,
1,7,9,4,8,3,2,5,6,"parent/guardian","Elementary","Middle",,,,
2,9,8,3,7,5,4,1,6,"parent/guardian","Elementary",,,,,
8,4,6,2,5,1,9,7,3,"parent/guardian",,,"High",,,
2,5,9,1,8,3,7,4,6,"parent/guardian","Elementary",,,,,
5,4,3,6,7,8,9,1,2,"parent/guardian",,"Middle","High",,,
6,3,4,1,9,5,8,2,7,"parent/guardian","Elementary","Middle",,,,
4,3,7,6,8,1,9,5,2,"parent/guardian",,"Middle",,"Options",,
1,3,9,7,8,4,5,2,6,"parent/guardian",,"Middle","High",,,
9,6,4,1,5,3,8,2,7,"parent/guardian",,"Middle",,,,
